x,y,z1,z2
1,1,0.177309185,0.192995086
2,1,0.069726445,0.084883012
3,1,0.057825364,0.078780301
4,1,0.113991775,0.080333821
5,1,0.150578931,0.09785755
6,1,0.111493759,0.091224127
7,1,0.200715899,0.191685662
8,1,0.040677562,0.01657084
9,1,0.216866121,0.136576623
1,2,0.069675833,0.104155563
2,2,0.00179083,-0.003216695
3,2,0.006675947,-0.004437358
4,2,0.090636961,0.020654812
5,2,0.111770011,0.05434477
6,2,-0.008863984,-0.029568909
7,2,0.063289791,0.07836315
8,2,0.022920564,0.055356607
9,2,0.036645312,-0.007739228
1,3,0.107547432,0.10508287
2,3,0.008047232,-0.046974421
3,3,-0.04424667,-0.012246793
4,3,0.077396475,0.04321073
5,3,0.07295303,-0.00170125
6,3,-0.071738079,-0.115822986
7,3,0.081547566,-0.01203268
8,3,-0.03310547,-0.084701307
9,3,0.056100085,-0.050399709
1,4,-0.106135555,0.074309155
2,4,0.193353325,0.252860844
3,4,-0.136012495,0.028374271
4,4,-0.096662268,-0.023963576
5,4,0.034372505,-0.014811422
6,4,0.368564308,0.387313992
7,4,0.029475564,-0.033975065
8,4,-0.059203707,-0.206042588
9,4,0.042319596,0.019401563
1,5,0.04280949,0.01753509
2,5,-0.100317165,-0.117272608
3,5,-0.112854883,-0.138610944
4,5,-0.112327032,-0.112588316
5,5,0.035189591,-0.007449104
6,5,0.016291499,0.009403834
7,5,-0.005522308,-0.073469706
8,5,-0.022359014,0.02033183
9,5,0.097320437,-0.082095593
1,6,0.277211457,0.30370146
2,6,-0.152281687,-0.090403445
3,6,-0.114232764,-0.247225314
4,6,0.082457349,0.081231892
5,6,-0.116813861,-0.087442547
6,6,-0.118997723,-0.143310577
7,6,-0.134193301,-0.077310815
8,6,-0.135758698,-0.108101234
9,6,-0.07635162,-0.026963862
1,7,-0.140451372,-0.094105579
2,7,-0.311860561,-0.296158105
3,7,-0.231880277,-0.23315528
4,7,0.083307728,0.166365504
5,7,-0.118790433,-0.002995169
6,7,-0.148439407,-0.214705586
7,7,-0.210431188,-0.14038083
8,7,-0.132554561,-0.188916266
9,7,-0.037354555,-0.112421885
1,8,-0.014338331,0.132903799
2,8,-0.097561963,-0.00384621
3,8,-0.15335153,-0.154817879
4,8,0.012406754,-0.011120107
5,8,0.025349375,0.040979858
6,8,-0.051643554,0.000440231
7,8,-0.044010807,0.048735525
8,8,-0.161192507,-0.121343374
9,8,-0.009198031,0.05680066
1,9,-0.102855667,-0.124097802
2,9,-0.395251513,-0.285623193
3,9,-0.282282174,-0.228242323
4,9,-0.201573327,-0.137033314
5,9,-0.117452636,-0.083017319
6,9,-0.333508968,-0.239033163
7,9,-0.195594057,-0.04460803
8,9,-0.225753933,-0.280665427
9,9,-0.110588148,-0.025200682
